"DateKey","Date","FullDateUK","FullDateUSA","DayOfMonth","DaySuffix","DayName","DayOfWeekUSA","DayOfWeekUK","DayOfWeekInMonth","DayOfWeekInYear","DayOfQuarter","DayOfYear","WeekOfMonth","WeekOfQuarter","WeekOfYear","Month","MonthName","MonthOfQuarter","Quarter","QuarterName","Year","YearName","MonthYear","MMYYYY","FirstDayOfMonth","LastDayOfMonth","FirstDayOfQuarter","LastDayOfQuarter","FirstDayOfYear","LastDayOfYear","IsHolidayUSA","IsWeekday","HolidayUSA","IsHolidayUK","HolidayUK","FiscalDayOfYear","FiscalWeekOfYear","FiscalMonth","FiscalQuarter","FiscalQuarterName","FiscalYear","FiscalYearName","FiscalMonthYear","FiscalMMYYYY","FiscalFirstDayOfMonth","FiscalLastDayOfMonth","FiscalFirstDayOfQuarter","FiscalLastDayOfQuarter","FiscalFirstDayOfYear","FiscalLastDayOfYear"
20130101,2013-01-01 00:00:00.000,01/01/2013,01/01/2013,1,1st,Thu 3,3,2,1,1,1,1,1,1,1,1,Thang 1,1,1,First,2013,CY 2013,"Jan-2013  ",012013,2013-01-01,2013-01-31,2013-01-01,2013-03-31,2013-01-01,2013-12-31,1,1,New Year's Day,1,New Year's Day,360,52,12,4,Fourth,2012,FY 2012,"Dec-2012  ",122012,2012-12-09,2013-01-05,2012-10-07,2013-01-05,2012-01-08,2013-01-05
20130102,2013-01-02 00:00:00.000,02/01/2013,01/02/2013,2,2nd,Thu 4,4,3,1,1,1,2,1,1,1,1,Thang 1,1,1,First,2013,CY 2013,"Jan-2013  ",012013,2013-01-01,2013-01-31,2013-01-01,2013-03-31,2013-01-01,2013-12-31,0,1,NULL,0,NULL,361,52,12,4,Fourth,2012,FY 2012,"Dec-2012  ",122012,2012-12-09,2013-01-05,2012-10-07,2013-01-05,2012-01-08,2013-01-05
20130103,2013-01-03 00:00:00.000,03/01/2013,01/03/2013,3,3rd,Thu 5,5,4,1,1,1,3,1,1,1,1,Thang 1,1,1,First,2013,CY 2013,"Jan-2013  ",012013,2013-01-01,2013-01-31,2013-01-01,2013-03-31,2013-01-01,2013-12-31,0,1,NULL,0,NULL,362,52,12,4,Fourth,2012,FY 2012,"Dec-2012  ",122012,2012-12-09,2013-01-05,2012-10-07,2013-01-05,2012-01-08,2013-01-05
20130104,2013-01-04 00:00:00.000,04/01/2013,01/04/2013,4,4th,Thu 6,6,5,1,1,1,4,1,1,1,1,Thang 1,1,1,First,2013,CY 2013,"Jan-2013  ",012013,2013-01-01,2013-01-31,2013-01-01,2013-03-31,2013-01-01,2013-12-31,0,1,NULL,0,NULL,363,52,12,4,Fourth,2012,FY 2012,"Dec-2012  ",122012,2012-12-09,2013-01-05,2012-10-07,2013-01-05,2012-01-08,2013-01-05
20130105,2013-01-05 00:00:00.000,05/01/2013,01/05/2013,5,5th,Thu 7,7,6,1,1,1,5,1,1,1,1,Thang 1,1,1,First,2013,CY 2013,"Jan-2013  ",012013,2013-01-01,2013-01-31,2013-01-01,2013-03-31,2013-01-01,2013-12-31,0,0,NULL,0,NULL,364,52,12,4,Fourth,2012,FY 2012,"Dec-2012  ",122012,2012-12-09,2013-01-05,2012-10-07,2013-01-05,2012-01-08,2013-01-05
20130106,2013-01-06 00:00:00.000,06/01/2013,01/06/2013,6,6th,Chu Nhat,1,7,1,1,1,6,2,1,2,1,Thang 1,1,1,First,2013,CY 2013,"Jan-2013  ",012013,2013-01-01,2013-01-31,2013-01-01,2013-03-31,2013-01-01,2013-12-31,0,0,NULL,0,NULL,1,1,1,1,First,2013,FY 2013,"Jan-2013  ",012013,2013-01-06,2013-02-02,2013-01-06,2013-04-06,2013-01-06,2014-01-04
20130107,2013-01-07 00:00:00.000,07/01/2013,01/07/2013,7,7th,Thu 2,2,1,1,1,1,7,2,1,2,1,Thang 1,1,1,First,2013,CY 2013,"Jan-2013  ",012013,2013-01-01,2013-01-31,2013-01-01,2013-03-31,2013-01-01,2013-12-31,0,1,NULL,0,NULL,2,1,1,1,First,2013,FY 2013,"Jan-2013  ",012013,2013-01-06,2013-02-02,2013-01-06,2013-04-06,2013-01-06,2014-01-04
20130108,2013-01-08 00:00:00.000,08/01/2013,01/08/2013,8,8th,Thu 3,3,2,2,2,2,8,2,2,2,1,Thang 1,1,1,First,2013,CY 2013,Jan-2013,012013,2013-01-01,2013-01-31,2013-01-01,2013-03-31,2013-01-01,2013-12-31,0,1,NULL,0,NULL,3,1,1,1,First,2013,FY 2013,Jan-2013,012013,2013-01-06,2013-02-02,2013-01-06,2013-04-06,2013-01-06,2014-01-04
20130109,2013-01-09 00:00:00.000,09/01/2013,01/09/2013,9,9th,Thu 4,4,3,2,2,2,9,2,2,2,1,Thang 1,1,1,First,2013,CY 2013,Jan-2013,012013,2013-01-01,2013-01-31,2013-01-01,2013-03-31,2013-01-01,2013-12-31,0,1,NULL,0,NULL,4,1,1,1,First,2013,FY 2013,Jan-2013,012013,2013-01-06,2013-02-02,2013-01-06,2013-04-06,2013-01-06,2014-01-04
20130110,2013-01-10 00:00:00.000,10/01/2013,01/10/2013,10,10th,Thu 5,5,4,2,2,2,10,2,2,2,1,Thang 1,1,1,First,2013,CY 2013,"Jan-2013  ",012013,2013-01-01,2013-01-31,2013-01-01,2013-03-31,2013-01-01,2013-12-31,0,1,NULL,0,NULL,5,1,1,1,First,2013,FY 2013,"Jan-2013  ",012013,2013-01-06,2013-02-02,2013-01-06,2013-04-06,2013-01-06,2014-01-04
20130111,2013-01-11 00:00:00.000,11/01/2013,01/11/2013,11,11th,Thu 6,6,5,2,2,2,11,2,2,2,1,Thang 1,1,1,First,2013,CY 2013,"Jan-2013  ",012013,2013-01-01,2013-01-31,2013-01-01,2013-03-31,2013-01-01,2013-12-31,0,1,NULL,0,NULL,6,1,1,1,First,2013,FY 2013,"Jan-2013  ",012013,2013-01-06,2013-02-02,2013-01-06,2013-04-06,2013-01-06,2014-01-04
20130112,2013-01-12 00:00:00.000,12/01/2013,01/12/2013,12,12th,Thu 7,7,6,2,2,2,12,2,2,2,1,Thang 1,1,1,First,2013,CY 2013,"Jan-2013  ",012013,2013-01-01,2013-01-31,2013-01-01,2013-03-31,2013-01-01,2013-12-31,0,0,NULL,0,NULL,7,1,1,1,First,2013,FY 2013,"Jan-2013  ",012013,2013-01-06,2013-02-02,2013-01-06,2013-04-06,2013-01-06,2014-01-04
